,ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter,Area[%]
0,1,0.004,9415,9025,8.0,2.5887780078234232e-06
1,2,0.004,9409,9019,8.0,2.5887780078234232e-06
2,3,0.004,9424,9016,8.0,2.5887780078234232e-06
3,4,0.004,9289,9007,8.0,2.5887780078234232e-06
4,5,0.02,9410,9004,18.0,1.2943890039117117e-05
5,6,0.02,11417,8986,18.0,1.2943890039117117e-05
6,7,0.02,9461,8983,18.0,1.2943890039117117e-05
7,8,0.02,9296,8983,18.0,1.2943890039117117e-05
8,9,0.122,11265,8982,45.313708424568176,7.895772923861441e-05
9,10,0.032,7522,8974,24.0,2.0710224062587386e-05
10,11,0.004,13414,8971,8.0,2.5887780078234232e-06
11,12,0.004,11269,8968,8.0,2.5887780078234232e-06
12,13,0.02,13393,8966,18.0,1.2943890039117117e-05
13,14,0.02,11407,8966,18.0,1.2943890039117117e-05
14,15,0.02,2992,8963,18.0,1.2943890039117117e-05
15,16,0.02,7301,8962,18.0,1.2943890039117117e-05
16,17,0.004,13387,8956,8.0,2.5887780078234232e-06
17,18,0.02,13444,8954,18.0,1.2943890039117117e-05
18,19,0.004,13444,8935,8.0,2.5887780078234232e-06
19,20,0.004,2797,8935,8.0,2.5887780078234232e-06
20,21,0.032,13444,8926,24.0,2.0710224062587386e-05
21,22,0.004,13360,8920,8.0,2.5887780078234232e-06
22,23,0.004,2635,8920,8.0,2.5887780078234232e-06
23,24,5.0365,13395,8988,740.3746688365936,0.003259595109100668
24,25,0.0805,13371,8889,35.89949476718902,5.2099157407446395e-05
25,26,0.047,13379,8882,25.656854152679443,3.0418141591925226e-05
26,27,0.004,2755,8875,8.0,2.5887780078234232e-06
27,28,0.02,11344,8870,18.0,1.2943890039117117e-05
28,29,0.02,9367,8858,18.0,1.2943890039117117e-05
29,30,0.066,9361,8864,46.82842707633972,4.271483712908649e-05
30,31,0.032,9409,8854,24.0,2.0710224062587386e-05
31,32,0.0575,11351,8853,29.07106757164001,3.7213683862461706e-05
32,33,0.004,9361,8848,8.0,2.5887780078234232e-06
33,34,0.004,2656,8848,8.0,2.5887780078234232e-06
34,35,0.02,11302,8846,18.0,1.2943890039117117e-05
35,36,0.004,9409,8845,8.0,2.5887780078234232e-06
36,37,0.032,11374,8839,24.0,2.0710224062587386e-05
37,38,0.02,13375,8834,18.0,1.2943890039117117e-05
38,39,8.4725,9382,8939,762.5756800174713,0.005483355417820988
39,40,0.004,11374,8827,8.0,2.5887780078234232e-06
40,41,0.004,11365,8818,8.0,2.5887780078234232e-06
41,42,0.004,11368,8809,8.0,2.5887780078234232e-06
42,43,0.129,9365,8821,73.31370806694032,8.34880907523054e-05
43,44,0.08,9406,8815,48.0,5.177556015646847e-05
44,45,0.044000000000000004,9366,8797,25.656854152679443,2.8476558086057656e-05
45,46,0.02,11374,8792,18.0,1.2943890039117117e-05
